MEMBROS,PARTIDO,BASE/OPOSIÇÃO,DETALHES,BLOCO PARLAMENTAR,,,SUPLENTES,PARTIDO SUPLENTE
Aécio Neves,PSDB,OPOSIÇÃO,,,,,,
Alfredo Gaspar,UNIÃO,BASE,,,,,,
Arlindo Chinaglia,PT,BASE,,,,,,
Átila Lins,PSD,BASE,3º vice-presidente,,,,,
Augusto Coutinho,REPUBLICANOS,OPOSIÇÃO,,,,,,
Baleia Rossi,MDB,BASE,,,,,,
Bruno Ganem,PODEMOS,OPOSIÇÃO,,,,,,
Carla Zambelli,PL,OPOSIÇÃO,,,,,,
Carlos Zarattini,PT,BASE,,,,,,
Celso Russomanno,REPUBLICANOS,OPOSIÇÃO,,,,,,
Claudio Cajado,PP,OPOSIÇÃO,,,,,,
Damião Feliciano,UNIÃO,BASE,,,,,,
Daniel Barbosa,PP,OPOSIÇÃO,,,,,,
Delegado da Cunha,PP,OPOSIÇÃO,,,,,,
Eduardo Bolsonaro,PL,OPOSIÇÃO,,,,,,
Fernando Melchiona,PSOL,BASE,,,,,,
Flávio Nogueira,PT,BASE,1º vice-presidente,,,,,
General Girão,PL,OPOSIÇÃO,2º vice-presidente,,,,,
General Pazuello,PL,OPOSIÇÃO,,,,,,
Jefferson Campos,PL,OPOSIÇÃO,,,,,,
Jonas Donizette,PSB,BASE,,,,,,
José Rocha,PL,OPOSIÇÃO,,,,,,
Marcel van Hattem,NOVO,OPOSIÇÃO,,,,,,
Marcelo Crivella,REPUBLICANOS,OPOSIÇÃO,,,,,,
Márcio Marinho,REPUBLICANOS,OPOSIÇÃO,,,,,,
Max Lemos,PDT,BASE,,,,,,
Nilto Tatto,PT,BASE,,,,,,
Odair Cunha,PT,BASE,,,,,,
Pastor Eurico,PL,OPOSIÇÃO,,,,,,
Paulão,PT,BASE,,,,,,
Paulo Alexandre Barbosa,PSDB,OPOSIÇÃO,Presidente,,,,,
Marco Feliciano,PL,OPOSIÇÃO,,,,,,
Rodrigo Valadares,UNIÃO,BASE,,,,,,
Roseana Sarney,MDB,BASE,,,,,,
Stefano Aguiar,PSD,BASE,,,,,,
Washington Quaquá,PT,BASE,,,,,,